id,text,value
02222,Courbes - 02800,courbes
02260,Danizy - 02800,danizy
02304,La Fère - 02800,la-fere
02335,Fressancourt - 02800,fressancourt
02473,Mayot - 02800,mayot
02560,Nouvion-le-Comte - 02800,nouvion-le-comte
02651,Rogécourt - 02800,rogecourt
02746,Travecy - 02800,travecy
02775,Vendeuil - 02800,vendeuil
02788,Versigny - 02800,versigny
02125,Brumetz - 02810,brumetz
02137,Bussiares - 02810,bussiares
02185,Chézy-en-Orxois - 02810,chezy-en-orxois
02225,Courchamps - 02810,courchamps
02339,Gandelu - 02810,gandelu
02375,Hautevesnes - 02810,hautevesnes
02428,Licy-Clignon - 02810,licy-clignon
02465,Marigny-en-Orxois - 02810,marigny-en-orxois
02512,Montigny-l'Allier - 02810,montigny-l-allier
02679,Saint-Gengoulph - 02810,saint-gengoulph
02744,Torcy-en-Valois - 02810,torcy-en-valois
02792,Veuilly-la-Poterie - 02810,veuilly-la-poterie
02007,Aizelles - 02820,aizelles
02033,Aubigny-en-Laonnois - 02820,aubigny-en-laonnois
02072,Berrieux - 02820,berrieux
02215,Corbeny - 02820,corbeny
02229,Courtrizy-et-Fussigny - 02820,courtrizy-et-fussigny
02349,Goudelancourt-lès-Berrieux - 02820,goudelancourt-les-berrieux
02472,Mauregny-en-Haye - 02820,mauregny-en-haye
02498,Montaigu - 02820,montaigu
02675,Sainte-Croix - 02820,sainte-croix-2
02676,Saint-Erme-Outre-et-Ramecourt - 02820,saint-erme-outre-et-ramecourt
02696,Saint-Thomas - 02820,saint-thomas
08003,Aiglemont - 08090,aiglemont
08022,Arreux - 08090,arreux
08058,Belval - 08090,belval
08125,Cliron - 08090,cliron
08137,Damouzy - 08090,damouzy
08160,Évigny - 08090,evigny
08162,Fagnon - 08090,fagnon
08206,Ham-les-Moines - 08090,ham-les-moines
08216,Haudrecy - 08090,haudrecy
08230,Houldizy - 08090,houldizy
08297,Montcornet - 08090,montcornet-2
08298,Montcy-Notre-Dame - 08090,montcy-notre-dame
08322,Neuville-lès-This - 08090,neuville-les-this
08385,Saint-Laurent - 08090,saint-laurent
08432,Sury - 08090,sury
08450,This - 08090,this
08457,Tournes - 08090,tournes
08498,Warnécourt - 08090,warnecourt
08166,Fépin - 08170,fepin
08185,Fumay - 08170,fumay
08214,Hargnies - 08170,hargnies
08222,Haybes - 08170,haybes
08304,Montigny-sur-Meuse - 08170,montigny-sur-meuse
08078,Bourg-Fidèle - 08230,bourg-fidele
08202,Gué-d'Hossus - 08230,gue-d-hossus
08355,Regniowez - 08230,regniowez
08367,Rocroi - 08230,rocroi
08417,Sévigny-la-Forêt - 08230,sevigny-la-foret
08436,Taillette - 08230,taillette
03014,Avrilly - 03130,avrilly
03024,Bert - 03130,bert
03035,Le Bouchaud - 03130,le-bouchaud
03103,Le Donjon - 03130,le-donjon
03142,Lenax - 03130,lenax
03144,Liernolles - 03130,liernolles
03147,Loddes - 03130,loddes
03154,Luneau - 03130,luneau
03178,Montaiguët-en-Forez - 03130,montaiguet-en-forez
03181,Montcombroux-les-Mines - 03130,montcombroux-les-mines
03196,Neuilly-en-Donjon - 03130,neuilly-en-donjon
03208,Le Pin - 03130,le-pin
03226,Saint-Didier-en-Donjon - 03130,saint-didier-en-donjon
03239,Saint-Léger-sur-Vouzance - 03130,saint-leger-sur-vouzance
08005,Alincourt - 08310,alincourt
08014,Annelles - 08310,annelles
08032,Aussonce - 08310,aussonce
08066,Bignicourt - 08310,bignicourt
08092,Cauroy - 08310,cauroy
08147,Dricourt - 08310,dricourt
08220,Hauviné - 08310,hauvine
08239,Juniville - 08310,juniville
08250,Leffincourt - 08310,leffincourt
08264,Machault - 08310,machault
08286,Ménil-Annelles - 08310,menil-annelles
08287,Ménil-Lépinois - 08310,menil-lepinois
08309,Mont-Saint-Remy - 08310,mont-saint-remy
08320,La Neuville-en-Tourne-à-Fuy - 08310,la-neuville-en-tourne-a-fuy
08338,Pauvres - 08310,pauvres
08378,Saint-Clément-à-Arnes - 08310,saint-clement-a-arnes
08379,Saint-Étienne-à-Arnes - 08310,saint-etienne-a-arnes
08393,Saint-Pierre-à-Arnes - 08310,saint-pierre-a-arnes
08484,Ville-sur-Retourne - 08310,ville-sur-retourne
03001,Abrest - 03200,abrest
03306,Le Vernet - 03200,le-vernet
03310,Vichy - 03200,vichy
08491,Vrigne aux Bois - 08330,vrigne-aux-bois
08029,Auflance - 08370,auflance
08065,Bièvres - 08370,bievres-2
08168,La Ferté-sur-Chiers - 08370,la-ferte-sur-chiers
08184,Fromy - 08370,fromy
08223,Herbeuval - 08370,herbeuval
08269,Malandry - 08370,malandry
08275,Margny - 08370,margny
08276,Margut - 08370,margut
08293,Moiry - 08370,moiry
08347,Puilly-et-Charbeaux - 08370,puilly-et-charbeaux
08399,Sapogne-sur-Marche - 08370,sapogne-sur-marche
08421,Signy-Montlibert - 08370,signy-montlibert
08485,Villy - 08370,villy
03092,Cressanges - 03240,cressanges
03099,Deux-Chaises - 03240,deux-chaises
03183,Le Montet - 03240,le-montet
03214,Rocles - 03240,rocles-03214
03260,Saint-Sornin - 03240,saint-sornin
03281,Le Theil - 03240,le-theil
03287,Treban - 03240,treban
03292,Tronget - 03240,tronget
08187,Gernelle - 08440,gernelle
08235,Issancourt-et-Rumel - 08440,issancourt-et-rumel
08263,Lumes - 08440,lumes
08483,Ville-sur-Lumes - 08440,ville-sur-lumes
08488,Vivier-au-Court - 08440,vivier-au-court
03029,Billy - 03260,billy
03157,Magnet - 03260,magnet
03160,Marcenat - 03260,marcenat
