url,marque,id_variante,nom_attr_1,val_attr_1,nom_attr_2,val_attr_2,nom_attr_3,val_attr_3,nom_attr_4,val_attr_4,nom_attr_5,val_attr_5,nom_attr_6,val_attr_6,nom_attr_7,val_attr_7,designation,reference,sku,code_article_fournisseur,descritptif,prix_reference,prix_promo_unitaire,quantite_degressif_1,prix_promo_degressif_1,quantite_degressif_2,prix_promo_degressif_2,quantite_degressif_3,prix_promo_degressif_3,quantite_degressif_4,prix_promo_degressif_4
/shop/product/product-27097?page=35,,27097,,,,,,,,,,,,,,,FRAISE 822 009 FG 341,87.FG341,,,,63.16,,5,47.11,8,44.16,12,39.25,1,63.16
/shop/product/product-2634?page=227,,2634,,,,,,,,,,,,,,,CERASMART 270 14 A2 HT,06.012589,,,,155.26,,,,,,,,,
/shop/product/product-2633?page=227,,2633,,,,,,,,,,,,,,,CERASMART 270 12 A3.5 LT,06.012560,,,,127.55,,,,,,,,,
/shop/product/product-2632?page=227,,2632,,,,,,,,,,,,,,,CERASMART 270 12 A1 LT,06.012557,,,,127.55,,,,,,,,,
/shop/product/product-2631?page=227,,2631,,,,,,,,,,,,,,,CERASMART 270 12 A1 HT,06.012552,,,,127.55,,,,,,,,,
/shop/product/product-2621?page=227,,2621,,,,,,,,,,,,,,,CERASMART 270 14L BL,06.012635,,,,151.06,,,,,,,,,
/shop/product/product-2620?page=227,,2620,,,,,,,,,,,,,,,CERASMART 270 14L A3.5 LT,06.012632,,,,151.06,,,,,,,,,
/shop/product/product-2619?page=227,,2619,,,,,,,,,,,,,,,CERASMART 270 A3 LT,06.012631,,,,151.06,,,,,,,,,
/shop/product/product-2618?page=227,,2618,,,,,,,,,,,,,,,CERASMART 270 14L B1 HT,06.012628,,,,151.06,,,,,,,,,
/shop/product/product-2617?page=227,,2617,,,,,,,,,,,,,,,CERASMART 270 14L A3.5 HT,06.012627,,,,151.06,,,,,,,,,
/shop/product/product-2616?page=227,,2616,,,,,,,,,,,,,,,CERASMART 270 14L A1 HT,06.012624,,,,151.06,,,,,,,,,
/shop/product/product-2615?page=227,,2615,,,,,,,,,,,,,,,CERASMART 270 12 A2 LT,06.012558,,,,127.55,,,,,,,,,
/shop/product/product-2614?page=227,,2614,,,,,,,,,,,,,,,CERASMART 270 14 A2 LT,06.012594,,,,139.1,,,,,,,,,
/shop/product/product-3446?page=2202,,3446,,,,,,,,,,,,,,,SOLOMAT CLICK 0,08.214110,,,,32.86,,,,,,,,,
/shop/product/product-3442?page=2202,,3442,,,,,,,,,,,,,,,HYFLEX X FILE NITI 21MM ISO 20,07.HO8376,,,,39.76,,,,,,,,,
